,index,Unnamed: 0,game_id,team_id,player_id,player_name,nickname,jersey_number,is_starter,starting_position_id,starting_position_name,minutes_played
5317,7,7,3890264,181,8512,Franco Matías Di Santo,Franco Di Santo,9,True,22,Right Center Forward,61
5318,8,8,3890264,181,8514,Matija Nastasić,,31,True,5,Left Center Back,16
5319,9,9,3890264,181,8517,Ralf Fährmann,,1,True,1,Goalkeeper,91
5320,10,10,3890264,181,8824,Marco Höger,,12,False,0,Substitute,30
5321,11,11,3890264,181,8958,Dennis Aogo,,15,True,6,Left Back,91
5322,12,12,3890264,181,16534,Roman Neustädter,,33,False,0,Substitute,75
5323,13,13,3890264,181,25003,Sascha Riether,,27,True,2,Right Back,91
5324,15,15,3890264,176,8389,Fin Bartels,,22,True,11,Left Defensive Midfield,83
5325,16,16,3890264,176,8390,Philipp Bargfrede,,44,True,9,Right Defensive Midfield,91
5326,17,17,3890264,176,8396,Theodor Gebre Selassie,,23,True,2,Right Back,91
5327,18,18,3890264,176,8402,Aron Jóhannsson,,9,False,0,Substitute,35
5328,19,19,3890264,176,8554,Levin Mete Öztunali,Levin Öztunalı,11,True,24,Left Center Forward,56
5329,20,20,3890264,176,8762,Zlatko Junuzović,,16,True,16,Left Midfield,91
5330,23,23,3890264,176,12624,Anthony Ujah,,21,True,22,Right Center Forward,91
5331,24,24,3890264,176,20010,Clemens Fritz,,8,True,12,Right Midfield,69
5332,25,25,3890264,176,22043,Ulisses Alexandre Garcia Lopes,Ulisses Garcia,20,True,6,Left Back,91
5333,26,26,3890264,176,23269,Felix Wiedwald,,42,True,1,Goalkeeper,91
5334,27,27,3890264,176,51388,Assani Lukimya-Mulongoti,Assani Lukimya,5,True,3,Right Center Back,91
5335,0,0,3890265,172,4174,Ragnar Klavan,,5,True,5,Left Center Back,97
5336,1,1,3890265,172,8207,Dominik Kohr,,21,True,9,Right Defensive Midfield,84
5337,2,2,3890265,172,8237,Paul Verhaegh,,2,True,2,Right Back,97
5338,3,3,3890265,172,8303,Caiuby Francisco da Silva,Caiuby,30,False,0,Substitute,37
5339,4,4,3890265,172,8314,Marwin Hitz,,35,True,1,Goalkeeper,97
5340,5,5,3890265,172,8317,Daniel Baier,,10,True,11,Left Defensive Midfield,97
5341,6,6,3890265,172,8319,Philipp Max,,31,False,0,Substitute,24
5342,7,7,3890265,172,8574,Alexander Esswein,,11,True,17,Right Wing,97
5343,8,8,3890265,172,8807,Raúl Marcelo Bobadilla,Raúl Bobadilla,25,True,23,Center Forward,45
5344,9,9,3890265,172,40462,Halil Altıntop,,7,True,19,Center Attacking Midfield,60
5345,10,10,3890265,172,40480,Markus Feulner,,8,True,6,Left Back,73
5346,11,11,3890265,172,40543,Jeong-Ho Hong,Hong Jeong-Ho,20,True,3,Right Center Back,97
5347,12,12,3890265,172,49081,Sascha Mölders,,33,False,0,Substitute,13
5348,13,13,3890265,172,400620,Tobias Werner,,13,True,21,Left Wing,97
5349,14,14,3890265,173,5569,Marvin Plattenhardt,,21,True,6,Left Back,97
5350,15,15,3890265,173,5697,Genki Haraguchi,,24,False,0,Substitute,21
5351,17,17,3890265,173,8578,Per Ciljan Skjelbred,,3,True,10,Center Defensive Midfield,97
5352,19,19,3890265,173,8580,Sebastian Langkamp,,15,True,3,Right Center Back,97
5353,20,20,3890265,173,8965,Fabian Lustenberger,,28,True,5,Left Center Back,97
5354,21,21,3890265,173,9398,Nico Schulz,,26,False,0,Substitute,38
5355,22,22,3890265,173,9721,Valentin Stocker,,14,True,16,Left Midfield,59
5356,24,24,3890265,173,12327,John Anthony Brooks,John Brooks,25,False,0,Substitute,12
5357,25,25,3890265,173,15543,Roy Beerens,,27,True,12,Right Midfield,68
5358,26,26,3890265,173,17313,Thomas Kraft,,1,True,1,Goalkeeper,97
5359,27,27,3890265,173,40474,Jens Hegeler,,13,True,15,Left Center Midfield,85
5360,0,0,3890266,174,4683,Adam Hloušek,,21,True,5,Left Center Back,93
5361,3,3,3890266,174,8243,Daniel Didavi,,10,True,12,Right Midfield,93
5362,4,4,3890266,174,8550,Alexandru Iulian Maxim,Alexandru Maxim,44,False,0,Substitute,17
5363,5,5,3890266,174,8557,Martin Harnik,,7,True,22,Right Center Forward,80
5364,6,6,3890266,174,8956,Timo Baumgartl,,5,True,3,Right Center Back,93
5365,7,7,3890266,174,8959,Christian Gentner,,20,True,11,Left Defensive Midfield,93
5366,9,9,3890266,174,9409,Daniel Ginczek,,33,True,24,Left Center Forward,93
5367,10,10,3890266,174,9728,Florian Klein,,16,True,2,Right Back,93
5368,11,11,3890266,174,11395,Lukas Rupp,,8,True,9,Right Defensive Midfield,76
5369,13,13,3890266,174,35496,Jan Kliment,,39,False,0,Substitute,13
5370,14,14,3890266,186,5679,Yūya Ōsako,,13,False,0,Substitute,40
5371,15,15,3890266,186,6040,Jonas Hector,,14,True,6,Left Back,93
5372,16,16,3890266,186,8231,Yannick Gerhardt,,31,True,15,Left Center Midfield,45
5373,17,17,3890266,186,8397,Kevin Vogt,,6,False,0,Substitute,48
5374,18,18,3890266,186,8821,Timo Horn,,1,True,1,Goalkeeper,93
5375,19,19,3890266,186,8822,Simon Zoller,,11,False,0,Substitute,26
5376,20,20,3890266,186,8823,Marcel Risse,,7,True,12,Right Midfield,93
5377,21,21,3890266,186,8825,Miloš Jojić,,8,True,13,Right Center Midfield,53
5378,22,22,3890266,186,8826,Leonardo Bittencourt,,21,True,16,Left Midfield,93
5379,23,23,3890266,186,8827,Matthias Lehmann,,33,True,10,Center Defensive Midfield,93
5380,24,24,3890266,186,8828,Dominique Heintz,,3,True,5,Left Center Back,93
5381,25,25,3890266,186,8829,Frederik Hillesborg Sørensen,Frederik Sørensen,4,True,3,Right Center Back,93
5382,26,26,3890266,186,9459,Paweł Olkowski,,16,True,2,Right Back,67
5383,27,27,3890266,186,23486,Anthony Modeste,,27,True,23,Center Forward,93
5384,4,4,3890267,179,8235,Maximilian Arnold,,27,True,11,Left Defensive Midfield,80
5385,5,5,3890267,179,8240,Koen Casteels,,28,True,1,Goalkeeper,95
5386,6,6,3890267,179,8308,Aaron Hunt,,10,False,0,Substitute,18
5387,7,7,3890267,179,8386,Max Kruse,,11,True,19,Center Attacking Midfield,95
5388,8,8,3890267,179,8516,Ronaldo Aparecido Rodrigues,Naldo,25,True,3,Right Center Back,95
5389,10,10,3890267,179,10594,Bas Dost,,12,True,23,Center Forward,89
5390,11,11,3890267,179,10790,Adelino André Vieira Freitas,Vieirinha,8,True,2,Right Back,95
5391,12,12,3890267,179,20200,Nicklas Bendtner,,3,False,0,Substitute,6
